단어,뜻
라라라러브송,일본인 가수 ‘쿠보타 토시노부’의 ‘La La La Love Song’. 시티팝 특유의 감성이 그대로 녹아 있는 유명곡 중 하나로 국내에서 많은 아티스트가 커버함
스트리머,"유튜브, 트위치, 아프리카 같은 플랫폼에서 실시간 인터넷 방송을 하는 사람."
맛잘알,"'잘 안다', '잘 아는 사람'이라는 뜻의 신조어인 '잘알' 앞에 '맛'이 붙은 형태. 즉, 맛을 잘 아는 사람이라는 뜻"
밀프렙,식사(meal)와 준비(preparation)의 합성어. 최대 일주일치 식사를 미리 준비해뒀다가 식사 때마다 먹는 방법.
인스타그래머,인스타그램을 하는 사람을 일컫는 말. 주로 인스타그램에 트렌디한 게시물을 자주 올리는 사람이라는 의미로 쓰임.
총공,'총 공격'의 줄임말. 팬들의 단체 행동.
망상,좋아하는 연예인을 가지고 특정 상황을 설정해 상상하며 노는 것.
연반인,연예인과 일반인을 합친 신조어. 연예인은 아니지만 연예인 만큼의 화제성을 가진 인물을 뜻함. 대표적인 인물로는 SBS 소속 PD 재재가 있음.
국룰,국민 룰의 줄임말. 보편적으로 통용되는 규칙 혹은 유행이라는 뜻.
바이브 코딩,자연어(일상적으로 쓰는 문장)만으로 프로그래밍이 가능한 기술
2048,"같은 숫자 타일을 합쳐 더 큰 숫자를 만드는 퍼즐 게임. 숫자 2048을 만드는 것이 최종 목표로, 비슷한 형식의 다양한 퍼즐 게임으로 변주·패러디되기도 함."
적시감각,"시간적, 순간적 희소성을 중요하게 생각하는 감각. ‘지금’이 아니면 안 되는 것을 가장 가치 있게 느끼는 태도. (출처 대학내일ES 트렌드 컨퍼런스 2026)"
니치,"아주 좁고 구체적인 취향, 또는 특정 소수를 겨냥한 틈새 시장을 가리키는 말."
아네모니아,한 번도 경험해본 적 없는 시대를 그리워하며 향수를 느끼는 감정을 뜻하는 용어.
아트맥싱,"예술적인 감각을 극대화시킨다는 의미로, 일상 전반에서 미적 감각을 키우려는 태도를 말함."
엉뚱한 복수(Whimsical anger),"스트레스나 분노를 직접적인 분출 대신, 엉뚱하고 무해한 행동으로 풀어내는 태도. 주로 스트레스의 ‘대상’을 향해 귀엽고 소소한 방식으로 되갚으며, 웃음으로 감정을 해소하는 것이 특징."
무드 컨슈머,"제품의 기능, 가격보다 제품이 주는 분위기나 감성을 구매하는 소비자를 일컫는 말. 자신의 감정 상태, 라이프스타일을 만족시킬 수 있는 구매 경험 자체를 중요하게 생각함."
샌드박스 게임,"사용자가 미리 정해진 목표나 규칙 없이 자유롭게 게임할 수 있는 게임 장르. 마인크래프트, 로블록스 등이 대표적임."
중티다스,청나라 시대 의복을 모티브로 삼은 아디다스 인기 자켓을 부르는 말. ‘중국 티’와 ‘아디다스’를 줄여 말함.
모리걸,"직역하면 ‘숲속에 사는 소녀’라는 뜻으로, 일본 특유의 빈티지 스타일을 일컫는 말"
프랙셔널 인재,기업이 필요한 수준과 기간만큼 파트타임으로 활용하는 모델. 주로‘실행’ 업무를 맡는 일반적인 프리랜서와는 달리 프로젝트 실행 권한을 가지고 조직의 의사결정에 참여할 수 있음.
잡 살몬,"한 번 퇴사했던 회사로 다시 돌아가 재입사하는 직장인을 뜻하는 신조어. 연어처럼 회귀한다는 뜻으로, ‘연어족’이라고도 불림."
AI 리터러시,"AI 기술을 단순히 이해하는 것을 넘어, AI에 대한 비판적인 사고를 할 줄 알고, 윤리적으로 활용하여 문제를 해결할 수 있는 능력을 말함."
리커버리노믹스,"캐릿이 만든 신조어로, ‘Recovery(회복)’와 ‘Economics(경제학)’의 합성어. 수면·사우나·각종 테라피 등 ‘회복’과 관련된 소비 트렌드를 뜻함."
새깅,바지를 허리선보다 아래로 내려 속옷이 살짝 보이도록 연출하는 스타일
양모펠트,"양모(실)를 뭉친 뒤 전용 바늘로 반복해 찔러 양모 섬유를 서로 엉키고 압축시켜, 원하는 형태로 고정하는 공예 기법."
캥거루족,학교를 졸업해 자립할 나이가 되었는데도 부모에게 경제적으로 기대어 사는 젊은이들을 일컫는 용어.
립스틱 효과,경제적 불황기에 소비자 만족도가 높으면서도 가격이 저렴한 사치품의 판매량이 증가하는 현상
컨페티,축제나 콘서트 등에서 무대나 공연 분위기를 연출하기 위해 뿌리는 작은 종이 조각
필 오프 이벤트,"벽면에 붙은 브랜드 제품, 샘플, 굿즈 등을 소비자가 뜯어가는 형식의 이벤트"
캐릿 해외 트렌드  디깅 크루,"10대, 20대로 구성된 캐릿의 해외 트렌드 자문 그룹. 해외 각국의 Z세대 트렌드를 발 빠르게 전하는 역할을 맡고 있음."
계란 구름 라면,"아이돌 그룹 엔하이픈의 ‘희승’이 유튜브 웹예능에 출연해 소개한 ‘계란 구름 라면’ 끓이는 법이 화제를 모았음. 면이 흐물흐물해지기 시작하면 한쪽으로 걷어내고, 미리 풀어 놓은 계란을 부어 구름처럼 떠오를 때까지 끓이는 게 레시피의 포인트."
C뷰티,‘중국 뷰티(Chinese beauty)’ 전반을 뜻하는 용어
반갈샷,반으로 가른 빵의 단면을 찍은 인증샷
F1,포뮬러 원. 오픈 휠(타이어가 외부로 노출된 방식) 레이싱 카가 경쟁하는 세계 최고 권위의 모터스포츠 대회.
이머시브 공연,"관객 참여형 공연 또는 관객 몰입형 공연. 관람객이 수동적으로 관람하는 기존 공연과 달리, 관객이 작품 속 역할을 맡거나 공간을 이동하며 직접 참여하는 형태의 공연을 뜻함."
제3의 장소,집이나 일터 외에 사람들이 자연스럽게 만나 교류할 수 있는 장소를 부르는 말.
샤오홍슈,"중국판 인스타그램이라고 불리는 소셜 미디어 플랫폼. 정식 외래어 표기법에 따르면 ‘샤오훙수’라고 표기해야 하지만, ‘샤오홍슈’라는 표기로 널리 쓰이고 있음."
헤이세이 레트로,"일본 헤이세이 시대(1989-2019년)에 유행하던 복고풍 트렌드. 산리오, 디지털 카메라, 갸루 패션 등이 대표적인 헤이세이 레트로에 속함."
위챗,"중국, 홍콩, 대만 등 중화권 지역에서 주로 쓰이는 모바일 메신저. 카카오톡의 카카오페이처럼 간편 결제 서비스가 내장되어 있음."
이머시브 체험,"관객들이 단순히 작품을 수동적으로 바라보는 것이 아니라, 직접 상호작용하며 경험하는 형식의 체험을 뜻함."
캐릿 트렌드 디깅 크루,"10대, 20대 300여 명으로 구성된 캐릿의 트렌드 자문 그룹. Z세대만 아는 문화, 유행을 발 빠르게 전하는 역할을 맡고 있음."
코롯토,"아크릴 스탠드 굿즈. 애니메이션 캐릭터, 좋아하는 연예인 사진 등이 아크릴에 프린팅되어 있으며 세울 수 있는 것이 즉징."
네이버 예상 월 검색량,"한 달간의 검색량을 토대로 예상한 당월 네이버 통합 검색량

✓ 네이버 월간 검색량 수치 기준
- 5,000회 이상: 커뮤니티 혹은 SNS에서 주목받은 소재의 키워드
- 10,000회 이상: 마이크로 트렌드로 떠오른 소재의 키워드
- 100,000 이상: 대중적인 관심을 받는 소재의 키워드"
네이버 월간 검색량,"조회 시점을 기준으로 한 달간 네이버 통합 검색에서 키워드가 검색된 횟수

✓ 네이버 월간 검색량 수치 기준
- 5,000회 이상: 커뮤니티 혹은 SNS에서 주목받은 소재의 키워드
- 10,000회 이상: 마이크로 트렌드로 떠오른 소재의 키워드
- 100,000 이상: 대중적인 관심을 받는 소재의 키워드"
재게시,"다른 계정의 게시물을 자신의 계정에 공유하는 기능

✓ 재게시 수치 기준
- 1,000~3,000 재게시: 엑스 내 특정 집단에서 주목받은 수준의 게시물
- 5,000 이상 재게시: 엑스 내에서 화제가 된 수준의 게시물
- 10,000 이상  재게시: 타 커뮤니티, 언론사까지 바이럴될 수 있는 수준의 게시물"
USP,Unique Selling Proposition의 줄임말. 브랜드만의 전략을 담은 핵심 메시지.
CRM,"Customer Relationship Management의 줄임말. 고객 데이터를 기반으로 맞춤형 경험을 제공하는 마케팅 전략. ex) 생일 쿠폰 발송, 리마인드 메시지 전송"
스케치 코미디,일상에서 흔히 겪는 일을 각색해 공감대를 형성하거나 웃음을 유발하는 10분 내외의 짧은 영상.
NFC,스마트폰에 접촉해 무선으로 데이터를 주고받을 수 있는 기술을 의미함.
저속노화 식단,"노년내과 전문의인 ‘정희원’ 교수가 소개한 개념. 노화를 느리게 만들 수 있는 식단에 붙은 별명으로, 가공식품과 당이 높은 식품을 최대한 피하는 것이 특징."
캐릭터 챗,"유저가 원하는 형태로 외모, 톤앤매너, 말투 등을 설정한 캐릭터 봇과 대화하는 AI 서비스."
NSFW,‘Not safe for work’의 약자이자 영어권의 인터넷 신조어. 우리나라 식으로 표현하면 ‘후방주의’라는 의미.
